Year,State,Data_Value,Sex,lon,lat,AVG(Data_Value)
2000,GA,22.2,Female,-82.28891115,31.74954196,203.94561403508789
2001,GA,24.1,Female,-82.28891115,31.74954196,205.76754385964904
2002,GA,25.9,Female,-82.28891115,31.74954196,209.71526315789455
2003,GA,32.1,Female,-82.28891115,31.74954196,227.17122807017546
2004,GA,38.6,Female,-82.28891115,31.74954196,226.24175438596473
2005,GA,41.4,Female,-82.28891115,31.74954196,232.349298245614
2006,GA,40.1,Female,-82.28891115,31.74954196,221.68280701754387
2007,GA,43.3,Female,-82.28891115,31.74954196,217.50789473684196
2008,GA,45.4,Female,-82.28891115,31.74954196,210.5973684210529
2009,GA,41.9,Female,-82.28891115,31.74954196,210.46070175438567
2010,GA,39.3,Female,-82.28891115,31.74954196,211.72877192982446
2011,GA,43.9,Female,-82.28891115,31.74954196,214.67982456140336
2012,GA,48.5,Female,-82.28891115,31.74954196,213.5419298245614
2013,GA,59.1,Female,-82.28891115,31.74954196,216.47508771929827
2014,GA,60.2,Female,-82.28891115,31.74954196,201.40824561403517
2015,GA,66.0,Female,-82.28891115,31.74954196,206.63192982456135
2016,GA,79.3,Female,-82.28891115,31.74954196,233.10596491228068
2017,GA,85.9,Female,-82.28891115,31.74954196,246.89824561403523
2018,GA,85.0,Female,-82.28891115,31.74954196,255.82456140350868
2019,GA,79.5,Female,-82.28891115,31.74954196,264.68561403508767
2000,HI,56.0,Male,-101.82813215,24.58081851,260.5357142857143
2001,HI,39.1,Male,-101.82813215,24.58081851,236.22142857142856
2002,HI,38.8,Male,-101.82813215,24.58081851,245.47857142857146
2003,HI,28.6,Male,-101.82813215,24.58081851,229.65000000000003
2004,HI,32.2,Male,-101.82813215,24.58081851,248.52857142857144
2005,HI,36.7,Male,-101.82813215,24.58081851,219.60714285714286
2006,HI,33.6,Male,-101.82813215,24.58081851,240.37142857142857
2007,HI,42.4,Male,-101.82813215,24.58081851,225.67142857142858
2008,HI,32.8,Male,-101.82813215,24.58081851,225.04999999999998
2009,HI,32.5,Male,-101.82813215,24.58081851,207.30714285714285
2010,HI,28.7,Male,-101.82813215,24.58081851,174.77142857142854
2011,HI,31.7,Male,-101.82813215,24.58081851,174.47142857142856
2012,HI,30.3,Male,-101.82813215,24.58081851,171.45
2013,HI,32.1,Male,-101.82813215,24.58081851,193.3857142857143
2014,HI,44.4,Male,-101.82813215,24.58081851,182.09285714285713
2015,HI,52.9,Male,-101.82813215,24.58081851,199.05
2016,HI,75.8,Male,-101.82813215,24.58081851,202.02142857142857
2017,HI,79.9,Male,-101.82813215,24.58081851,199.20714285714286
2018,HI,75.0,Male,-101.82813215,24.58081851,240.6928571428572
2019,HI,84.4,Male,-101.82813215,24.58081851,239.79285714285712
2000,IA,8.2,Female,-94.47093083,41.3307559,196.0311475409837
2001,IA,7.6,Female,-94.47093083,41.3307559,205.24071038251356
2002,IA,8.1,Female,-94.47093083,41.3307559,204.52923497267741
2003,IA,9.9,Female,-94.47093083,41.3307559,210.53387978142072
2004,IA,9.4,Female,-94.47093083,41.3307559,208.76857923497258
2005,IA,9.4,Female,-94.47093083,41.3307559,222.65273224043713
2006,IA,9.9,Female,-94.47093083,41.3307559,217.55765027322403
2007,IA,11.9,Female,-94.47093083,41.3307559,214.45027322404377
2008,IA,11.2,Female,-94.47093083,41.3307559,225.76092896174856
2009,IA,10.7,Female,-94.47093083,41.3307559,219.84398907103815
2010,IA,10.2,Female,-94.47093083,41.3307559,216.56775956284145
2011,IA,11.3,Female,-94.47093083,41.3307559,231.2259562841532
2012,IA,11.2,Female,-94.47093083,41.3307559,229.69754098360667
2013,IA,10.2,Female,-94.47093083,41.3307559,234.94344262295076
2014,IA,11.2,Female,-94.47093083,41.3307559,272.2185792349726
2015,IA,11.0,Female,-94.47093083,41.3307559,291.4196721311476
2016,IA,9.8,Female,-94.47093083,41.3307559,279.3349726775954
2017,IA,10.4,Female,-94.47093083,41.3307559,286.1027322404373
2018,IA,11.6,Female,-94.47093083,41.3307559,285.7557377049181
2019,IA,10.9,Female,-94.47093083,41.3307559,271.5510928961748
2000,ID,14.5,Female,-116.24126868,43.45089227,156.06899224806202
2001,ID,11.6,Female,-116.24126868,43.45089227,164.9573643410852
2002,ID,12.4,Female,-116.24126868,43.45089227,175.29999999999998
2003,ID,13.6,Female,-116.24126868,43.45089227,181.62248062015505
2004,ID,14.2,Female,-116.24126868,43.45089227,176.30000000000004
2005,ID,13.2,Female,-116.24126868,43.45089227,175.92713178294576
2006,ID,13.0,Female,-116.24126868,43.45089227,171.42713178294576
2007,ID,12.6,Female,-116.24126868,43.45089227,166.15503875968992
2008,ID,11.6,Female,-116.24126868,43.45089227,164.87519379844966
2009,ID,11.5,Female,-116.24126868,43.45089227,162.7418604651162
2010,ID,11.2,Female,-116.24126868,43.45089227,181.784496124031
2011,ID,11.6,Female,-116.24126868,43.45089227,187.07596899224805
2012,ID,11.1,Female,-116.24126868,43.45089227,182.8503875968992
2013,ID,11.7,Female,-116.24126868,43.45089227,188.7426356589147
2014,ID,12.3,Female,-116.24126868,43.45089227,186.88217054263575
2015,ID,12.2,Female,-116.24126868,43.45089227,188.83255813953483
2016,ID,11.1,Female,-116.24126868,43.45089227,181.80542635658918
2017,ID,13.2,Female,-116.24126868,43.45089227,200.39844961240314
2018,ID,14.0,Female,-116.24126868,43.45089227,207.6906976744187
2019,ID,15.0,Female,-116.24126868,43.45089227,212.22713178294566
2000,IL,11.7,Female,-91.18841833,39.98804101,218.97872928176824
2001,IL,10.9,Female,-91.18841833,39.98804101,221.81988950276227
2002,IL,12.1,Female,-91.18841833,39.98804101,222.22983425414384
2003,IL,14.4,Female,-91.18841833,39.98804101,231.12071823204428
2004,IL,13.3,Female,-91.18841833,39.98804101,224.21988950276253
2005,IL,13.0,Female,-91.18841833,39.98804101,235.44779005524876
2006,IL,12.8,Female,-91.18841833,39.98804101,217.81740331491716
2007,IL,15.5,Female,-91.18841833,39.98804101,214.09502762430938
2008,IL,16.7,Female,-91.18841833,39.98804101,222.30110497237564
2009,IL,18.1,Female,-91.18841833,39.98804101,211.66077348066293
2010,IL,16.6,Female,-91.18841833,39.98804101,211.37486187845323
2011,IL,17.8,Female,-91.18841833,39.98804101,219.79751381215448
2012,IL,17.6,Female,-91.18841833,39.98804101,212.68977900552485
2013,IL,17.3,Female,-91.18841833,39.98804101,214.23259668508302
2014,IL,18.0,Female,-91.18841833,39.98804101,209.79171270718237
2015,IL,21.0,Female,-91.18841833,39.98804101,214.39944751381213
2016,IL,24.6,Female,-91.18841833,39.98804101,219.25745856353583
2017,IL,23.0,Female,-91.18841833,39.98804101,230.5392265193372
2018,IL,22.0,Female,-91.18841833,39.98804101,225.59530386740335
2019,IL,21.0,Female,-91.18841833,39.98804101,232.57099447513812
2000,IN,17.6,Male,-84.93658269,40.74577516,197.6412790697677
2001,IN,14.8,Male,-84.93658269,40.74577516,199.9031976744186
2002,IN,15.3,Male,-84.93658269,40.74577516,203.41627906976743
2003,IN,14.5,Male,-84.93658269,40.74577516,215.9468023255814
2004,IN,14.5,Male,-84.93658269,40.74577516,210.80610465116277
2005,IN,15.5,Male,-84.93658269,40.74577516,211.86686046511645
2006,IN,15.8,Male,-84.93658269,40.74577516,197.22034883720917
2007,IN,15.9,Male,-84.93658269,40.74577516,187.13401162790703
